Useq	Freezer_Id	Mothur_Classification	taxon_oid	Genome_Name	Genome_Classification
Sequence_41	CL72_27F	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;	2529292578	Bacillus sp. UNC437CL72CviS29	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_42	CL2	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Ochrobactrum;	2565956514	Ochrobactrum sp. UNC390CL2Tsu3S39	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum
Sequence_42	MF370	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Ochrobactrum;	2643221500	Ochrobactrum sp. 370MFChir3.1Proteobacteria	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum
Sequence_43	CL115	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2639762527	Bacillus sp. CL115	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_43	CL25	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2639762622	Bacillus sp. CL25	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_43	CL73	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2528768222	Bacillus sp. UNC438CL73TsuS30	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_43	CL96	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2639762528	Bacillus sp. CL96	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_43	MF112	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2639762568	Bacillus sp. 112MF	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_43	MF166A	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2636416173	Bacillus sp. 166AMFTsu	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_43	MF95	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2517572209	Bacillus sp. 95MFCvi2.1	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_44	MF499	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;	2593339197	Paenibacillus sp. UNC499MF	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
Sequence_45	MF178	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Dyella;	2593339196	Dyella marensis UNC178MFTsu3.1	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella
Sequence_45	MF79	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Dyella;	2556921674	Dyella japonica UNC79MFTsu3.2	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella
Sequence_45	MF79_2	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Dyella;	2556921674	Dyella japonica UNC79MFTsu3.2	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella
