Plate,Well,row,column,Sample,Soil,Genotype,Plot,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth
Plate2,F4,f,4,L6,low-6,Col-0,Plot16,Shoot,P80Plate2,Plate2_F4,low,Pot6,58536,10.9773972285639
Plate2,F6,f,6,L43,high-1,phr1/phl1,Plot3,Shoot,P24Plate2,Plate2_F6,high,Pot43,48095,10.7809335005867
Plate2,F7,f,7,R58,low+Pi-4,Col-0,Plot10,Root,P46Plate2,Plate2_F7,low+Pi,Pot58,45149,10.7177234102056
Plate2,G1,g,1,L33,medium-3,phf1,Plot8,Shoot,P81Plate2,Plate2_G1,medium,Pot33,41461,10.6325085053323
Plate2,G10,g,10,L25,medium-1,phr1/phl1,Plot2,Shoot,P62Plate2,Plate2_G10,medium,Pot25,49303,10.8057402101064
Plate2,G12,g,12,R66,low+Pi-6,phr1/phl1,Plot16,Root,P45Plate2,Plate2_G12,low+Pi,Pot66,53634,10.8899384743159
Plate2,G2,g,2,L8,low-2,phr1/phl1,Plot4,Shoot,P33Plate2,Plate2_G2,low,Pot8,20953,9.95003711318911
Plate2,G3,g,3,R5,low-5,Col-0,Plot13,Root,P1Plate2,Plate2_G3,low,Pot5,40363,10.6056688027259
Plate2,G4,g,4,S72,low+Pi-6,phf1,Plot16,Soil,P11Plate2,Plate2_G4,low+Pi,Pot72,41217,10.6266060715921
Plate2,G6,g,6,S65,low+Pi-5,phr1/phl1,Plot13,Soil,P52Plate2,Plate2_G6,low+Pi,Pot65,22532,10.0226918000146
Plate2,G7,g,7,L30,medium-6,phr1/phl1,Plot17,Shoot,P79Plate2,Plate2_G7,medium,Pot30,34775,10.4566540167916
Plate2,G8,g,8,L41,high-5,Col-0,Plot15,Shoot,P95Plate2,Plate2_G8,high,Pot41,28178,10.2462968106132
Plate2,H1,h,1,R32,medium-2,phf1,Plot5,Root,P35Plate2,Plate2_H1,medium,Pot32,51567,10.8506372119963
Plate2,H3,h,3,L13,low-1,phf1,Plot1,Shoot,P26Plate2,Plate2_H3,low,Pot13,62536,11.0434976699002
Plate2,H4,h,4,L23,medium-5,Col-0,Plot14,Shoot,P88Plate2,Plate2_H4,medium,Pot23,56466,10.9413939660868
Plate2,H5,h,5,R72,low+Pi-6,phf1,Plot16,Root,P10Plate2,Plate2_H5,low+Pi,Pot72,46257,10.7419680828395
Plate2,H6,h,6,R65,low+Pi-5,phr1/phl1,Plot13,Root,P91Plate2,Plate2_H6,low+Pi,Pot65,49385,10.8074020133422
Plate3,A2,a,2,R15,low-3,phf1,Plot7,Root,P16Plate3,Plate3_A2,low,Pot15,57696,10.962943126003
Plate3,A3,a,3,R21,medium-3,Col-0,Plot8,Root,P87Plate3,Plate3_A3,medium,Pot21,55106,10.9170138821346
Plate3,A5,a,5,L59,low+Pi-5,Col-0,Plot13,Shoot,P42Plate3,Plate3_A5,low+Pi,Pot59,23414,10.0610894130396
Plate3,A6,a,6,L18,low-6,phf1,Plot16,Shoot,P9Plate3,Plate3_A6,low,Pot18,35737,10.4839418456268
Plate3,B1,b,1,L24,medium-6,Col-0,Plot17,Shoot,P75Plate3,Plate3_B1,medium,Pot24,62619,11.044824025414
Plate3,B4,b,4,S3,low-3,Col-0,Plot7,Soil,P17Plate3,Plate3_B4,low,Pot3,3117,8.04462627976734
Plate3,C1,c,1,R67,low+Pi-1,phf1,Plot1,Root,P38Plate3,Plate3_C1,low+Pi,Pot67,36423,10.5029557222121
Plate3,C2,c,2,L2,low-2,Col-0,Plot4,Shoot,P23Plate3,Plate3_C2,low,Pot2,36183,10.4963446742514
