Gene,group,value,Cluster,Genotype,Phosphate
AT3G01420,phr1_phl1_low_Pi,-0.570686308433131,Cluster1,phr1_phl1,low_Pi
AT3G01420,phf1_low_Pi,-0.318508041873717,Cluster1,phf1,low_Pi
AT3G01420,phr1_phl1_low,-1.10351712474948,Cluster1,phr1_phl1,low
AT3G01420,phf1_low,0.0845320382345677,Cluster1,phf1,low
AT3G01420,Col_0_low,1.31228368818092,Cluster1,Col_0,low
AT3G01420,Col_0_low_Pi,-0.387855268783465,Cluster1,Col_0,low_Pi
AT3G04070,Col_0_low,1.61603484103597,Cluster1,Col_0,low
AT3G04070,phr1_phl1_low_Pi,-0.631667884562428,Cluster1,phr1_phl1,low_Pi
AT3G04070,phr1_phl1_low,-1.18089771838812,Cluster1,phr1_phl1,low
AT3G04070,Col_0_low_Pi,-0.383714920509662,Cluster1,Col_0,low_Pi
AT3G04070,phf1_low,-0.175920907019096,Cluster1,phf1,low
AT3G04070,phf1_low_Pi,-0.27972431984631,Cluster1,phf1,low_Pi
AT3G04530,Col_0_low,1.49961152847311,Cluster1,Col_0,low
AT3G04530,phr1_phl1_low_Pi,-0.82458198159832,Cluster1,phr1_phl1,low_Pi
AT3G04530,phf1_low,-0.0325551853028217,Cluster1,phf1,low
AT3G04530,phr1_phl1_low,-0.497443718077539,Cluster1,phr1_phl1,low
AT3G04530,phf1_low_Pi,-0.514561804935914,Cluster1,phf1,low_Pi
AT3G04530,Col_0_low_Pi,-0.776288000942818,Cluster1,Col_0,low_Pi
AT3G05690,phr1_phl1_low,0.0587610763037585,Cluster1,phr1_phl1,low
AT3G05690,Col_0_low_Pi,-1.02308237699822,Cluster1,Col_0,low_Pi
AT3G05690,Col_0_low,1.22441467955979,Cluster1,Col_0,low
AT3G05690,phr1_phl1_low_Pi,-0.731487310571176,Cluster1,phr1_phl1,low_Pi
AT3G05690,phf1_low,-0.168163592603076,Cluster1,phf1,low
AT3G05690,phf1_low_Pi,-0.321095379373703,Cluster1,phf1,low_Pi
AT3G07720,phr1_phl1_low_Pi,-0.436512946219861,Cluster1,phr1_phl1,low_Pi
AT3G07720,phf1_low,-0.243452470092873,Cluster1,phf1,low
AT3G07720,Col_0_low,1.21027213722284,Cluster1,Col_0,low
AT3G07720,phf1_low_Pi,-0.569854204756245,Cluster1,phf1,low_Pi
AT3G07720,phr1_phl1_low,-0.553543198369535,Cluster1,phr1_phl1,low
AT3G07720,Col_0_low_Pi,-0.279252024764022,Cluster1,Col_0,low_Pi
AT3G08040,Col_0_low,1.41933882455465,Cluster1,Col_0,low
AT3G08040,phr1_phl1_low,0.144715477987189,Cluster1,phr1_phl1,low
AT3G08040,phr1_phl1_low_Pi,-0.164944659390654,Cluster1,phr1_phl1,low_Pi
AT3G08040,Col_0_low_Pi,-0.0286240770435837,Cluster1,Col_0,low_Pi
AT3G08040,phf1_low,-0.948518903818739,Cluster1,phf1,low
AT3G08040,phf1_low_Pi,-0.739848952352151,Cluster1,phf1,low_Pi
AT3G09940,Col_0_low,1.16345278173045,Cluster1,Col_0,low
AT3G09940,phr1_phl1_low,-0.926453307465499,Cluster1,phr1_phl1,low
AT3G09940,Col_0_low_Pi,0.0289923378787952,Cluster1,Col_0,low_Pi
AT3G09940,phr1_phl1_low_Pi,0.28176599394203,Cluster1,phr1_phl1,low_Pi
AT3G09940,phf1_low,-0.478766034058126,Cluster1,phf1,low
AT3G09940,phf1_low_Pi,-0.270452148892797,Cluster1,phf1,low_Pi
AT3G12580,phr1_phl1_low,0.0442405696467091,Cluster1,phr1_phl1,low
AT3G12580,Col_0_low,1.33297826156292,Cluster1,Col_0,low
AT3G12580,phf1_low,-0.565466571037233,Cluster1,phf1,low
AT3G12580,Col_0_low_Pi,0.109808359658682,Cluster1,Col_0,low_Pi
AT3G12580,phr1_phl1_low_Pi,-1.12231887714359,Cluster1,phr1_phl1,low_Pi
AT3G12580,phf1_low_Pi,-0.744157026522126,Cluster1,phf1,low_Pi
AT3G13100,phr1_phl1_low_Pi,-0.58707840018055,Cluster1,phr1_phl1,low_Pi
AT3G13100,phf1_low,0.636490789962394,Cluster1,phf1,low
AT3G13100,phr1_phl1_low,-1.62778743691733,Cluster1,phr1_phl1,low
AT3G13100,phf1_low_Pi,0.248188916982502,Cluster1,phf1,low_Pi
AT3G13100,Col_0_low,0.954624310072218,Cluster1,Col_0,low
AT3G13100,Col_0_low_Pi,-0.651678287778551,Cluster1,Col_0,low_Pi
AT3G13610,Col_0_low,0.981486218964038,Cluster1,Col_0,low
AT3G13610,phr1_phl1_low,-0.64377042259773,Cluster1,phr1_phl1,low
AT3G13610,phf1_low,-0.0119988207900755,Cluster1,phf1,low
AT3G13610,Col_0_low_Pi,-0.770193436675977,Cluster1,Col_0,low_Pi
AT3G13610,phf1_low_Pi,-0.20943238797606,Cluster1,phf1,low_Pi
AT3G13610,phr1_phl1_low_Pi,0.161622869197095,Cluster1,phr1_phl1,low_Pi
AT3G14680,Col_0_low,1.28916929074406,Cluster1,Col_0,low
AT3G14680,phr1_phl1_low_Pi,-0.46514156365336,Cluster1,phr1_phl1,low_Pi
AT3G14680,phr1_phl1_low,-0.680057102544544,Cluster1,phr1_phl1,low
AT3G14680,phf1_low,0.309713874776517,Cluster1,phf1,low
AT3G14680,Col_0_low_Pi,-1.27614341624657,Cluster1,Col_0,low_Pi
AT3G14680,phf1_low_Pi,-0.209553447663073,Cluster1,phf1,low_Pi
AT3G14940,Col_0_low,0.793592069464218,Cluster1,Col_0,low
AT3G14940,phr1_phl1_low,-0.592024707646301,Cluster1,phr1_phl1,low
AT3G14940,Col_0_low_Pi,-0.000727133104829338,Cluster1,Col_0,low_Pi
AT3G14940,phf1_low_Pi,-0.47268821893653,Cluster1,phf1,low_Pi
AT3G14940,phr1_phl1_low_Pi,-0.33469311672283,Cluster1,phr1_phl1,low_Pi
AT3G14940,phf1_low,-0.121698008196936,Cluster1,phf1,low
