Useq,Freezer_Id,taxon_oid,Genome_Name,Genome_Classification
USeq22,MF136,2636416059,Streptomyces sp. 136MFCol5.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
USeq23,MF445,2643221531,Paenibacillus sp. 445MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq23,MF455,2639762525,Mycobacterium sp. 455MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq23,MF455_2,2639762525,Mycobacterium sp. 455MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq23,MF455_3,2639762525,Mycobacterium sp. 455MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq23,MF455_4,2639762525,Mycobacterium sp. 455MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq23,MF88,2642422555,Mycobacterium sp. 88MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq23,MF88_2,2642422555,Mycobacterium sp. 88MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq23,MF88_3,2642422555,Mycobacterium sp. 88MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq24,CL18,2563366515,Streptomyces sp. UNC401CLCol,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
USeq25,MF453,2636416067,Paenibacillus sp. 453MF,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
USeq26,CL13,2639762621,Bacillus sp. UNCCL13,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq27,MF491,2636416083,Bacillus sp. 491MF,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq28,CL123,2636416068,Paenibacillus sp. CL123,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
USeq29,MF17,NA,NA,NA
USeq30,CL11,2546825541,Burkholderia CL11,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq30,CL11_27f,2546825541,Burkholderia CL11,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq30,MF376,2521172625,Burkholderia bryophila 376MFSha3.1,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq30,MF384,2546825545,Burkholderia MF384,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq30,MF384_2,2546825545,Burkholderia MF384,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq30,MF384_3,2546825545,Burkholderia MF384,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
