Plate	Well	row	column	Sample	Soil	Genotype	Plot	Fraction	OTU_Header	DADA2_Header	Phosphate	Pot	Depth	LDepth	Shannon	Richness
Plate2	G2	g	2	L8	low-2	phr1/phl1	Plot4	Shoot	P33Plate2	Plate2_G2	low	Pot8	20953	9.95003711318911	4.4276481147072	253
Plate2	G3	g	3	R5	low-5	Col-0	Plot13	Root	P1Plate2	Plate2_G3	low	Pot5	40363	10.6056688027259	4.81089642840948	510
Plate2	G4	g	4	S72	low+Pi-6	phf1	Plot16	Soil	P11Plate2	Plate2_G4	low+Pi	Pot72	41217	10.6266060715921	6.34516138186521	922
Plate2	G5	g	5	S83	medium-5	No_Plant	Plot14	BulkSoil	P53Plate2	Plate2_G5	medium	Pot83	10558	9.26463914538356	5.79012859777994	537
Plate2	G6	g	6	S65	low+Pi-5	phr1/phl1	Plot13	Soil	P52Plate2	Plate2_G6	low+Pi	Pot65	22532	10.0226918000146	5.90935916058653	654
Plate2	G7	g	7	L30	medium-6	phr1/phl1	Plot17	Shoot	P79Plate2	Plate2_G7	medium	Pot30	34775	10.4566540167916	4.39170240789788	313
Plate2	G8	g	8	L41	high-5	Col-0	Plot15	Shoot	P95Plate2	Plate2_G8	high	Pot41	28178	10.2462968106132	4.31907944248983	365
Plate2	H1	h	1	R32	medium-2	phf1	Plot5	Root	P35Plate2	Plate2_H1	medium	Pot32	51567	10.8506372119963	5.6998056359029	651
Plate2	H3	h	3	L13	low-1	phf1	Plot1	Shoot	P26Plate2	Plate2_H3	low	Pot13	62536	11.0434976699002	4.64912798347696	450
Plate2	H4	h	4	L23	medium-5	Col-0	Plot14	Shoot	P88Plate2	Plate2_H4	medium	Pot23	56466	10.9413939660868	4.56654547878674	462
Plate2	H5	h	5	R72	low+Pi-6	phf1	Plot16	Root	P10Plate2	Plate2_H5	low+Pi	Pot72	46257	10.7419680828395	5.3157008416592	505
Plate2	H6	h	6	R65	low+Pi-5	phr1/phl1	Plot13	Root	P91Plate2	Plate2_H6	low+Pi	Pot65	49385	10.8074020133422	5.09000567175724	481
Plate3	A2	a	2	R15	low-3	phf1	Plot7	Root	P16Plate3	Plate3_A2	low	Pot15	57696	10.962943126003	4.60396310849206	416
Plate3	A3	a	3	R21	medium-3	Col-0	Plot8	Root	P87Plate3	Plate3_A3	medium	Pot21	55106	10.9170138821346	4.2936386159175	315
Plate3	A5	a	5	L59	low+Pi-5	Col-0	Plot13	Shoot	P42Plate3	Plate3_A5	low+Pi	Pot59	23414	10.0610894130396	5.34877055800259	533
Plate3	A6	a	6	L18	low-6	phf1	Plot16	Shoot	P9Plate3	Plate3_A6	low	Pot18	35737	10.4839418456268	4.20952867433754	474
Plate3	B1	b	1	L24	medium-6	Col-0	Plot17	Shoot	P75Plate3	Plate3_B1	medium	Pot24	62619	11.044824025414	5.48008773236801	755
Plate3	B2	b	2	S86	high-2	No_Plant	Plot6	BulkSoil	P31Plate3	Plate3_B2	high	Pot86	13132	9.48280727862148	3.62843325596177	121
Plate3	B4	b	4	S3	low-3	Col-0	Plot7	Soil	P17Plate3	Plate3_B4	low	Pot3	3117	8.04462627976734	3.05493798898697	41
Plate3	C1	c	1	R67	low+Pi-1	phf1	Plot1	Root	P38Plate3	Plate3_C1	low+Pi	Pot67	36423	10.5029557222121	4.61927003674516	402
Plate3	C2	c	2	L2	low-2	Col-0	Plot4	Shoot	P23Plate3	Plate3_C2	low	Pot2	36183	10.4963446742514	4.82315766757565	492
Plate3	C4	c	4	L29	medium-5	phr1/phl1	Plot14	Shoot	P30Plate3	Plate3_C4	medium	Pot29	47220	10.7625728106395	4.16451294603032	342
Plate3	D1	d	1	L1	low-1	Col-0	Plot1	Shoot	P61Plate3	Plate3_D1	low	Pot1	42793	10.664129816792	5.07389608864159	539
Plate3	D2	d	2	L17	low-5	phf1	Plot13	Shoot	P25Plate3	Plate3_D2	low	Pot17	37512	10.5324161607694	5.31855000805676	607
Plate3	D3	d	3	S54	high-6	phf1	Plot18	Soil	P85Plate3	Plate3_D3	high	Pot54	46895	10.755666338943	6.22780684732669	910
Plate3	E1	e	1	L72	low+Pi-6	phf1	Plot16	Shoot	P3Plate3	Plate3_E1	low+Pi	Pot72	45712	10.7301161244706	4.10905162468783	409
Plate3	E2	e	2	R43	high-1	phr1/phl1	Plot3	Root	P69Plate3	Plate3_E2	high	Pot43	9036	9.10897187758789	4.51640392796604	226
Plate3	E3	e	3	R3	low-3	Col-0	Plot7	Root	P59Plate3	Plate3_E3	low	Pot3	37922	10.5432866975941	4.62740314741538	337
Plate3	E4	e	4	L56	low+Pi-2	Col-0	Plot4	Shoot	P56Plate3	Plate3_E4	low+Pi	Pot56	35659	10.4817568483991	4.8615227601208	527
Plate3	F1	f	1	R60	low+Pi-6	Col-0	Plot16	Root	P6Plate3	Plate3_F1	low+Pi	Pot60	50307	10.8258995114152	5.17153526583035	479
Plate3	F2	f	2	L67	low+Pi-1	phf1	Plot1	Shoot	P94Plate3	Plate3_F2	low+Pi	Pot67	32079	10.3759568894248	4.58778996523296	453
Plate3	F4	f	4	L68	low+Pi-2	phf1	Plot4	Shoot	P80Plate3	Plate3_F4	low+Pi	Pot68	44504	10.7033343517551	4.08910031548574	358
Plate3	F6	f	6	L47	high-5	phr1/phl1	Plot15	Shoot	P24Plate3	Plate3_F6	high	Pot47	36146	10.4953215713956	4.62137371744373	335
Plate3	G1	g	1	L15	low-3	phf1	Plot7	Shoot	P81Plate3	Plate3_G1	low	Pot15	32118	10.3771718996214	5.71224600235303	590
Plate3	G2	g	2	R52	high-4	phf1	Plot12	Root	P33Plate3	Plate3_G2	high	Pot52	23082	10.0468083719804	4.51548485406473	351
Plate3	G3	g	3	L28	medium-4	phr1/phl1	Plot11	Shoot	P1Plate3	Plate3_G3	medium	Pot28	42259	10.6515726278517	3.85500613576831	355
Plate3	G4	g	4	R48	high-6	phr1/phl1	Plot18	Root	P11Plate3	Plate3_G4	high	Pot48	48044	10.7798725366744	4.98429587847147	430
Plate3	G5	g	5	L42	high-6	Col-0	Plot18	Shoot	P53Plate3	Plate3_G5	high	Pot42	42163	10.6492983381789	5.77574602074239	694
Plate3	H2	h	2	R12	low-6	phr1/phl1	Plot16	Root	P77Plate3	Plate3_H2	low	Pot12	55563	10.9252727910909	5.10947494242153	448
Plate3	H3	h	3	L22	medium-4	Col-0	Plot11	Shoot	P26Plate3	Plate3_H3	medium	Pot22	40798	10.6163883395829	4.06731105949005	394
Plate3	H4	h	4	L55	low+Pi-1	Col-0	Plot1	Shoot	P88Plate3	Plate3_H4	low+Pi	Pot55	37855	10.5415183505374	4.53601659699251	331
Plate3	H5	h	5	L19	medium-1	Col-0	Plot2	Shoot	P10Plate3	Plate3_H5	medium	Pot19	46080	10.7381342953698	4.5631097671973	404
